SNo,IsBadBuy,VehicleAge,VehOdo,ARCP,VehBCost,WarrantyCost
284,0,2,2,3,1,0
285,0,2,2,2,1,2
286,0,3,2,2,0,2
287,0,1,1,4,1,0
288,0,1,3,4,2,3
289,0,2,2,4,1,3
290,0,2,2,1,0,1
291,0,2,2,3,1,1
292,0,0,1,3,2,1
293,0,2,2,3,3,0
294,0,2,3,3,1,3
295,0,1,2,3,1,2
296,0,3,3,1,0,3
297,0,2,3,1,0,2
298,0,0,1,3,1,1
299,0,1,2,4,2,3
300,0,3,3,2,1,2
301,1,1,2,4,3,3
302,0,1,2,4,4,2
303,0,3,2,2,2,1
304,0,2,2,4,2,4
305,0,2,3,4,4,2
306,0,2,1,2,0,0
307,1,1,1,3,1,1
308,0,3,4,2,0,1
309,1,1,1,4,2,1
310,0,2,3,2,1,2
311,0,0,1,4,3,1
312,0,2,2,4,2,1
313,0,2,1,2,1,2
314,0,1,2,4,2,1
315,0,1,2,3,2,0
316,0,2,1,3,3,1
317,0,1,2,2,1,2
318,0,1,1,2,1,0
319,1,2,2,4,0,2
320,0,1,2,3,1,1
321,0,1,2,4,1,1
322,0,1,1,4,3,2
323,0,3,3,4,1,1
324,0,1,1,4,2,0
325,0,1,2,3,1,0
326,0,3,3,3,2,1
327,0,2,3,4,1,1
328,0,2,0,4,1,1
329,1,1,1,4,3,1
330,0,2,1,4,2,2
331,0,1,2,4,3,1
332,0,2,2,4,3,1
333,0,2,3,4,3,1
334,0,2,3,3,1,3
335,0,1,3,4,1,2
336,0,1,1,4,2,0
337,0,3,3,2,0,1
338,0,1,1,4,2,0
339,0,1,2,4,3,1
340,1,2,2,2,1,0
341,1,2,2,4,3,2
342,0,2,3,4,4,1
343,1,4,2,2,0,2
344,0,2,1,3,1,1
345,0,1,1,4,3,1
346,0,2,3,4,2,2
347,0,2,2,4,4,1
348,1,2,1,3,2,1
349,1,2,0,3,1,0
350,0,1,2,3,1,1
351,0,0,1,3,1,1
352,0,3,3,2,1,1
353,1,1,2,4,1,1
354,1,1,1,4,2,0
355,1,2,3,1,1,3
356,0,1,2,4,3,2
357,0,4,3,2,0,3
358,1,3,1,1,0,1
359,0,3,3,2,1,3
360,0,2,3,4,2,3
361,0,3,3,4,4,1
362,0,2,3,1,1,2
363,0,1,2,4,3,2
364,0,2,2,4,1,1
365,0,2,2,3,1,2
366,0,2,2,4,3,1
367,0,1,1,2,1,1
368,0,1,1,4,2,0
369,0,1,2,4,2,3
370,0,1,2,4,1,0
371,0,2,3,3,0,1
372,0,2,2,3,1,2
373,0,1,2,4,3,2
374,0,3,2,2,1,4
375,0,2,2,4,3,0
376,0,2,3,1,0,1
377,0,2,3,1,0,2
378,1,3,2,4,3,1
379,0,0,2,4,4,1
380,0,1,2,4,2,1
381,0,1,2,4,3,1
382,0,3,2,1,0,3
383,0,2,3,2,2,0
384,0,1,2,4,2,0
385,0,1,2,4,4,2
386,0,2,0,2,1,1
387,1,2,2,4,4,2
388,0,1,2,4,3,2
389,0,1,1,3,2,2
390,0,1,3,4,1,2
391,0,2,2,3,1,0
392,0,2,1,3,1,0
393,0,3,3,4,4,3
394,0,2,2,3,1,0
395,0,3,2,1,1,1
396,0,1,2,4,1,3
397,0,1,3,4,2,3
398,0,1,2,3,1,2
399,0,2,2,2,0,1
400,0,1,2,3,3,3
401,0,1,2,4,1,2
402,0,1,3,4,3,2
403,0,2,2,4,2,1
404,1,2,3,4,2,2
405,0,1,3,3,1,2
406,0,1,3,2,0,1
407,0,2,1,2,0,1
408,0,3,2,3,3,3
409,0,3,3,3,0,1
410,0,2,2,3,1,1
411,0,1,1,4,1,0
412,0,2,2,3,1,2
413,0,2,2,2,1,3
414,0,2,2,2,2,2
415,0,2,2,4,2,2
416,0,1,2,4,3,1
417,0,1,2,3,2,1
418,0,3,2,1,0,2
419,0,1,2,3,1,2
420,0,1,3,4,2,3
421,0,1,3,4,2,2
422,1,4,4,2,1,4
423,0,4,2,2,0,2
424,0,3,2,2,1,1
425,0,2,2,4,2,2
426,0,4,3,2,0,4
427,0,2,2,3,3,1
428,1,2,1,4,4,1
429,0,2,2,1,0,1
430,0,2,3,4,3,2
431,0,4,3,2,1,1
432,0,1,3,4,1,2
433,0,1,2,4,2,1
434,1,4,3,2,1,1
435,0,2,3,4,3,1
436,0,1,1,2,1,1
437,0,1,2,2,0,1
438,0,1,2,3,1,1
439,0,1,1,4,1,1
440,0,1,2,3,1,2
441,0,4,2,1,0,1
442,0,2,1,2,1,1
443,0,2,2,4,2,0
444,0,0,1,4,3,1
445,0,1,2,4,3,2
446,0,1,3,4,3,2
447,0,2,2,4,2,0
448,0,3,2,1,0,1
449,0,2,1,2,0,1
450,0,1,3,4,3,2
451,0,2,3,2,1,2
452,0,2,3,2,1,3
453,0,1,1,3,1,1
454,0,2,1,2,1,0
455,0,2,2,4,1,1
456,0,2,2,4,1,1
457,0,2,2,2,1,2
458,0,3,2,4,3,0
459,0,1,3,4,3,1
460,0,2,2,1,1,3
461,0,1,2,4,3,2
462,0,1,2,4,2,1
463,0,2,1,3,1,1
464,0,2,1,3,1,1
465,1,2,3,4,1,1
466,0,1,2,4,1,1
467,0,3,2,2,2,1
468,0,2,3,3,2,2
469,0,1,2,4,2,3
470,0,2,3,4,2,2
471,0,0,1,4,1,1
472,0,3,2,4,1,2
473,0,2,3,3,0,2
474,0,2,0,1,1,0
475,0,2,2,3,0,2
476,0,2,3,3,1,1
477,1,2,2,1,0,1
478,0,2,1,3,1,0
479,0,1,2,4,2,1
480,0,0,2,4,3,2
481,0,2,2,4,1,0
482,0,2,2,3,1,0
483,0,3,2,2,2,1
484,1,2,3,2,0,1
485,0,1,1,4,3,1
486,0,3,2,2,2,3
487,0,2,2,3,1,2
488,0,2,1,1,0,0
489,1,2,2,4,3,2
490,0,4,1,1,0,2
491,0,2,2,3,1,2
492,0,2,3,2,1,1
493,0,1,2,4,1,3
494,1,1,2,4,1,2
495,0,2,3,4,1,1
496,0,1,1,3,1,1
497,0,2,3,4,1,1
498,1,2,2,3,1,0
499,0,2,1,2,1,0
500,1,3,3,2,0,2
501,0,2,3,2,2,3
502,1,3,3,2,2,1
503,1,4,1,2,1,1
504,0,2,2,4,2,0
505,0,2,2,2,1,4
506,0,2,2,3,1,1
507,0,4,3,3,1,1
508,0,2,2,2,1,3
509,0,1,2,4,2,3
510,0,3,1,1,1,1
511,0,2,1,4,3,1
512,0,2,2,4,3,0
513,0,2,3,3,0,2
514,0,1,3,4,3,2
515,0,1,2,4,3,2
516,1,2,3,2,1,1
517,1,1,2,2,1,2
518,0,2,2,4,3,3
519,0,1,2,4,2,3
520,0,2,1,3,1,0
521,1,4,2,2,0,4
522,1,3,0,1,1,1
523,0,2,3,1,0,4
524,0,0,1,3,2,0
525,0,2,3,3,0,2
526,0,3,1,3,1,1
527,0,2,3,3,2,2
528,0,1,2,3,1,2
529,0,1,1,3,1,1
530,0,3,3,3,2,1
531,0,2,2,4,2,1
532,0,1,3,4,3,2
533,0,2,2,2,1,1
534,0,3,2,3,2,1
535,0,2,2,4,3,1
536,0,1,2,2,1,1
537,0,3,2,0,1,2
538,1,2,2,4,3,1
539,0,2,2,1,1,1
540,0,2,2,4,2,1
541,0,1,1,4,1,2
542,0,1,2,4,3,1
543,0,2,1,2,1,0
544,0,1,1,4,4,0
545,0,2,3,3,1,2
546,0,2,3,2,0,2
547,0,2,3,3,0,1
548,0,3,2,1,0,1
549,0,2,2,4,3,1
550,0,2,2,4,2,1
551,0,2,3,4,1,2
552,0,1,3,4,2,1
553,0,1,3,4,1,1
554,0,1,2,4,3,0
555,0,3,3,2,0,1
556,1,3,2,4,1,1
557,0,2,2,3,1,1
558,0,1,2,4,1,1
559,0,1,2,4,3,1
560,0,3,2,3,1,1
561,0,1,2,3,1,1
562,0,1,3,4,3,1
563,0,4,4,1,0,2
564,0,1,1,3,1,1
565,0,3,0,0,0,1
566,0,2,2,4,1,1
567,0,1,2,4,3,2
568,0,1,3,4,1,1
569,1,2,1,2,1,1
570,0,2,3,4,4,1
571,0,2,2,0,3,1
572,0,1,2,4,4,2
573,1,4,3,1,0,4
574,0,2,2,1,1,0
575,0,2,2,2,1,2
576,1,3,3,2,0,1
577,0,1,2,0,1,3
578,0,2,2,4,1,2
579,0,4,2,3,0,2
580,0,1,2,4,4,0
581,0,3,2,3,1,1
582,0,0,1,4,3,1
583,1,3,2,3,3,1
584,0,1,2,4,2,1
585,0,2,1,4,2,1
586,0,3,2,1,0,2
587,0,3,3,3,1,1
588,0,2,2,4,1,2
589,0,4,3,3,1,3
590,0,3,2,3,2,2
591,0,3,2,2,0,1
592,0,0,2,4,3,3
593,0,1,3,4,3,2
594,0,2,1,1,0,0
595,0,0,3,4,3,3
596,0,1,2,4,2,3
597,0,2,3,3,1,1
598,0,1,1,4,1,1
599,0,2,1,4,3,1
600,0,2,3,4,1,1
601,0,1,2,4,2,3
602,0,1,1,4,2,1
603,0,1,3,4,3,2
604,0,3,2,4,1,3
605,0,2,3,4,3,1
606,0,3,2,4,3,2
607,0,1,2,4,1,0
608,0,1,1,4,2,0
609,0,2,2,2,0,2
610,0,2,2,4,3,2
611,0,2,3,3,1,0
612,0,3,2,4,2,3
613,0,1,2,3,1,2
614,0,2,2,3,1,2
615,0,1,2,2,0,2
616,0,1,2,4,2,3
617,0,2,3,4,2,2
618,0,3,3,1,0,2
619,0,2,2,4,0,2
620,0,3,3,4,4,3
621,0,2,1,4,4,1
622,0,2,1,4,2,0
623,0,1,1,4,2,1
624,0,1,2,4,3,1
625,0,2,3,2,0,2
626,0,1,2,4,4,1
627,0,2,3,1,0,1
628,1,2,2,2,0,0
629,0,2,1,2,2,2
630,0,1,2,4,2,2
631,0,1,1,4,2,1
632,1,3,2,3,1,3
633,0,2,3,3,2,2
634,0,1,3,3,3,3
635,0,1,1,3,1,0
636,0,1,1,4,3,1
637,0,0,1,4,3,1
638,0,1,0,3,1,0
639,0,2,2,3,1,1
640,0,2,2,4,2,3
641,0,4,2,0,0,1
642,0,2,2,4,3,1
643,0,2,2,4,1,1
644,0,2,2,1,1,0
645,0,2,1,4,2,2
646,0,1,2,4,3,2
647,0,2,4,2,0,1
648,0,1,2,4,2,1
649,0,2,3,3,2,2
650,0,1,3,4,2,2
651,1,2,2,4,2,2
652,1,1,3,3,2,3
653,0,3,2,3,0,1
654,0,2,3,2,0,1
655,0,2,2,4,4,1
656,0,1,3,4,3,2
657,0,0,1,4,3,1
658,0,1,3,3,1,1
659,0,1,3,4,4,1
660,0,2,3,4,3,3
661,0,2,3,4,2,1
662,0,3,2,2,1,2
663,0,1,3,4,2,3
664,1,3,3,4,2,3
665,0,3,3,2,0,2
666,0,2,2,3,1,2
667,1,4,2,2,1,2
668,0,3,3,3,1,2
669,0,1,2,4,2,2
670,0,2,2,2,1,2
671,1,2,1,1,0,1
672,0,3,2,1,0,3
673,0,1,2,4,1,1
674,1,2,2,4,3,2
675,0,1,2,4,1,1
676,0,1,2,3,1,0
677,0,1,3,4,3,3
678,0,0,1,4,2,1
679,0,1,1,4,1,0
680,0,2,3,4,3,1
681,0,0,1,3,2,1
682,0,2,3,3,1,2
683,0,1,1,4,3,2
684,1,3,1,2,1,1
685,1,2,2,4,3,2
686,1,1,2,4,3,2
687,0,3,2,4,3,2
688,0,2,3,3,1,2
689,0,0,1,4,3,1
690,0,1,3,3,2,3
691,0,2,3,4,2,2
692,0,4,3,1,0,3
693,0,1,3,3,2,3
694,0,2,2,4,1,1
695,0,3,2,3,1,1
696,1,2,1,2,1,2
697,0,3,2,3,2,2
698,0,2,3,4,1,2
699,0,2,2,3,3,2
700,0,1,2,2,1,2
701,0,3,3,4,2,4
702,0,1,2,4,1,1
703,0,1,3,4,1,3
704,0,1,2,4,3,0
705,0,2,3,4,1,2
706,0,3,3,2,3,2
707,0,1,2,3,1,3
708,0,1,3,4,3,2
709,0,2,3,4,3,3
710,0,2,3,4,3,3
711,0,1,2,3,1,2
712,0,1,2,0,1,3
713,0,1,2,4,1,1
714,0,0,1,3,1,1
715,0,3,2,1,0,2
716,0,2,3,4,2,3
717,1,2,2,3,1,4
718,0,1,2,3,0,0
719,0,2,3,3,1,1
720,0,3,2,0,3,1
721,0,3,3,2,1,3
722,0,1,2,4,1,1
723,0,2,3,2,0,1
724,1,2,1,2,0,0
725,0,1,2,4,2,3
726,1,2,1,3,1,2
727,0,1,1,4,2,0
728,0,4,0,2,1,2
729,0,1,2,4,3,2
730,0,1,1,4,3,2
731,0,3,3,4,3,2
732,1,1,2,4,2,2
733,0,2,2,4,3,2
734,0,2,2,1,0,1
735,0,2,3,2,0,2
736,0,3,0,2,3,2
737,0,2,3,2,0,2
738,1,2,2,2,1,3
739,0,3,3,3,1,3
740,0,2,2,2,0,0
741,0,0,0,4,1,1
742,0,2,2,4,4,2
743,1,2,1,3,1,0
744,0,2,1,4,2,0
745,0,1,1,4,3,1
746,0,2,3,4,4,3
747,0,2,3,4,4,1
748,1,2,3,1,0,2
749,0,2,2,4,3,1
750,0,2,3,4,4,2
751,0,2,3,4,2,1
752,0,2,1,4,2,0
753,0,1,2,2,1,2
754,0,4,2,1,0,2
755,0,2,2,4,2,3
756,0,2,3,4,2,2
757,0,3,3,2,0,3
758,0,2,3,1,0,2
759,1,2,3,4,2,1
760,1,2,1,2,1,0
761,0,1,2,4,2,2
762,0,2,2,2,2,1
763,0,2,3,2,0,2
764,1,2,3,4,4,3
765,0,2,2,3,1,0
766,0,2,3,2,1,3
767,0,1,3,4,3,1
768,0,2,2,4,2,3
769,0,2,2,3,1,1
770,1,1,2,2,1,1
771,0,1,0,4,1,0
772,0,1,1,4,3,1
773,0,3,2,2,1,3
774,0,3,2,4,3,0
775,0,1,1,1,1,0
776,0,2,2,4,3,2
777,0,1,1,2,1,0
778,0,2,2,2,0,2
779,0,1,1,1,1,0
780,0,1,1,3,1,1
781,1,1,2,4,2,2
782,0,3,3,2,0,1
783,0,1,3,4,3,2
784,0,1,1,2,1,0
785,0,2,3,4,3,2
786,0,1,2,3,1,2
787,0,2,3,4,3,0
788,0,2,1,3,3,2
789,1,2,2,1,0,1
790,0,2,2,2,1,2
791,0,1,2,3,1,1
792,0,1,3,4,2,3
793,0,1,2,2,1,1
794,1,3,3,1,0,3
795,0,3,2,1,0,3
796,0,2,1,2,1,2
797,0,2,2,4,2,2
798,0,2,3,1,0,3
799,0,1,2,3,1,3
800,0,1,2,4,2,1
801,0,2,1,4,3,1
802,0,2,2,4,1,2
803,0,1,2,3,0,1
804,0,4,3,2,1,1
805,0,1,1,4,2,1
806,1,3,2,1,0,2
807,0,3,3,2,2,2
808,0,2,3,2,0,1
809,0,2,2,3,1,2
810,0,1,2,2,0,1
811,0,2,2,4,2,1
812,0,2,2,3,1,0
813,0,1,2,4,2,1
814,0,2,2,3,2,2
815,0,1,2,4,3,1
816,0,3,2,4,3,0
817,0,1,3,4,4,1
818,0,3,2,4,3,3
819,0,3,3,3,1,1
820,0,3,2,1,1,2
821,0,2,3,4,3,2
822,0,2,2,2,1,2
823,0,2,3,4,1,0
824,0,3,3,4,2,4
825,0,2,2,4,1,2
826,0,1,1,4,1,1
827,0,2,1,2,1,2
828,0,0,1,4,3,1
829,0,1,2,4,2,2
830,0,3,2,2,1,2
831,0,3,3,1,0,3
832,0,0,1,4,1,0
833,0,2,3,3,1,2
834,0,2,3,1,0,2
835,0,3,3,2,1,4
836,0,1,2,4,3,1
837,0,1,1,4,1,0
838,0,2,1,2,2,1
839,0,2,2,4,4,1
840,0,2,2,4,2,3
841,0,2,2,3,1,0
842,0,2,2,4,3,1
843,0,0,1,3,2,0
844,0,1,1,3,1,1
845,0,3,2,2,1,1
846,0,2,1,4,2,1
847,1,2,2,3,1,1
848,0,3,2,2,2,1
849,0,2,1,4,3,2
850,0,1,2,4,4,0
851,0,1,2,4,4,2
852,0,1,2,4,2,2
853,0,3,3,4,3,2
854,0,1,2,4,2,1
855,0,2,2,3,1,1
856,1,2,1,2,2,1
857,0,1,2,2,1,0
858,0,2,1,4,1,1
859,0,2,3,0,2,2
860,0,2,2,1,0,4
861,0,2,3,4,2,3
862,0,0,1,4,3,1
863,0,1,2,4,1,2
864,0,0,1,3,1,1
865,0,1,2,3,3,2
866,0,2,3,4,4,3
867,0,2,2,4,1,2
868,0,0,1,4,2,2
869,1,1,2,3,1,1
870,0,2,3,4,3,3
871,0,4,3,3,1,3
872,1,3,3,2,0,1
873,0,1,2,2,1,2
874,0,2,2,4,3,0
875,0,2,2,3,1,0
876,0,1,2,4,3,2
877,0,3,2,2,2,2
878,0,1,1,2,1,1
879,0,3,0,1,0,2
880,0,2,4,3,0,2
881,0,2,2,4,2,1
882,0,1,3,4,2,2
883,0,3,3,2,2,2
884,0,2,3,4,2,2
885,0,2,2,4,2,1
886,0,1,2,4,3,1
887,1,2,1,3,3,1
888,0,1,1,2,1,1
889,0,1,1,4,3,1
890,0,0,1,4,2,1
891,1,3,3,1,0,3
892,1,2,3,1,0,2
893,1,2,2,3,1,4
894,0,3,2,4,3,1
895,0,2,2,4,2,3
896,0,2,2,2,0,1
897,1,2,1,4,1,0
898,0,3,2,3,1,3
899,0,1,3,4,1,2
900,0,2,2,4,3,0
901,0,2,2,4,2,1
902,0,2,2,4,3,2
903,0,2,3,4,1,3
904,0,3,2,1,0,2
905,0,2,2,3,1,2
906,0,1,2,4,2,1
907,0,3,2,1,1,2
908,0,0,1,3,2,0
909,1,2,3,3,1,2
910,0,1,1,4,1,1
911,1,3,3,4,1,1
912,0,3,2,4,3,1
913,0,3,2,4,2,3
914,0,2,2,2,1,1
915,1,2,2,4,2,2
916,0,3,2,4,4,1
917,0,1,3,4,3,2
918,0,2,3,3,1,1
919,0,1,1,4,2,1
920,1,1,1,4,1,0
921,0,2,3,2,1,4
922,0,1,1,4,2,1
923,0,1,2,4,1,1
924,0,1,1,2,1,1
925,1,1,2,4,2,2
926,0,2,2,2,0,2
927,1,3,3,2,1,3
928,0,1,1,2,1,0
929,1,2,2,2,0,3
930,0,1,3,4,3,1
931,0,1,2,4,1,0
932,0,2,1,3,2,1
933,0,1,2,4,2,3
934,0,0,1,3,1,1
935,0,2,3,4,3,3
936,0,2,1,2,1,1
937,0,2,2,3,1,1
938,0,3,3,4,4,1
939,0,1,1,4,2,1
940,0,3,2,1,0,3
941,0,2,2,3,1,1
942,0,3,2,2,1,1
943,0,1,1,4,3,1
944,0,1,1,3,1,0
945,0,2,2,2,1,2
946,0,2,1,4,2,0
947,0,1,3,4,3,2
948,0,1,2,2,0,1
949,0,2,3,4,3,2
950,0,2,2,4,2,2
951,0,3,3,3,2,1
952,0,2,2,4,1,3
953,0,0,2,4,3,2
954,0,2,3,3,0,1
955,0,0,0,4,2,1
956,0,2,3,3,2,3
957,0,1,2,4,3,2
958,0,2,2,4,2,2
959,1,2,2,3,1,1
960,0,0,1,3,2,1
961,0,2,1,4,3,1
962,0,2,2,3,2,3
963,0,1,3,4,2,2
964,0,3,1,1,2,1
965,0,2,2,3,3,2
966,1,2,3,2,0,1
967,0,2,2,3,1,3
968,1,2,2,4,2,2
969,0,1,2,4,3,1
970,0,3,0,1,0,1
971,0,2,1,3,3,1
972,0,3,2,4,4,2
973,0,1,2,4,3,2
974,0,2,2,3,1,0
975,0,2,2,4,2,2
976,0,2,1,2,1,0
977,0,2,3,2,0,2
978,0,2,2,4,4,1
979,0,3,3,4,3,3
980,0,2,2,4,3,2
981,1,0,1,4,3,1
982,0,3,3,4,4,2
983,0,4,2,2,0,1
984,0,1,2,3,1,1
985,0,2,1,3,1,1
986,0,1,2,2,1,1
987,0,3,2,4,3,3
988,0,2,2,3,1,2
989,1,2,3,1,0,1
990,0,1,2,2,0,1
991,0,2,3,2,0,2
992,0,0,2,4,4,2
